iter	Logloss
0	0.6467019821
1	0.6040602742
2	0.5674081933	3	0.5363256134	4	0.5091731765	5	0.4843297986	6	0.4624337847	7	0.4450388547
8	0.4295835434
9	0.4157205558
10	0.4043272478
11	0.3945784244
12	0.3853377753
13	0.3766355234
14	0.3692906345
15	0.3633275619
16	0.3579414365
17	0.3526577117
18	0.3475728726
19	0.3433129303
20	0.3398136755
21	0.3362492906
22	0.3333635914
23	0.3304135483
24	0.3278863762
25	0.3255849428
26	0.3236618514
27	0.3217487179
28	0.3202483559
29	0.3188744299
30	0.3177425828
31	0.3164915896
32	0.3154705799
33	0.3145612304
34	0.3137019464
35	0.3127610172
36	0.3120858825
37	0.3113122639
38	0.3106433044
39	0.3099545035
40	0.3094097992
41	0.3089110161
42	0.3083265009
43	0.3077866945
44	0.3073565047
45	0.3069413397
46	0.3065771372
47	0.3061840103
48	0.3059056891
49	0.3056108949
50	0.3053996033
51	0.3050671059
52	0.3047439064
53	0.3044865871
54	0.3042617563
55	0.3041040911
56	0.3039334794
57	0.3037183648
58	0.3035327459
59	0.3034153662
60	0.3032245841
61	0.3030908135
62	0.3029721144
63	0.3028643981
64	0.3027736379
65	0.3026243039
66	0.3025021748
67	0.302396538
68	0.3022803372
69	0.3021780137
70	0.3020989126
71	0.3019889647
72	0.3018810213
73	0.3017742526
74	0.301715633
75	0.3015850947
76	0.3014965032
77	0.3014199079
78	0.3013421685
79	0.3012557332
80	0.3011957542
81	0.3011165789
82	0.3010607795
83	0.3009936439
84	0.300902511
85	0.3008278558
86	0.300767409
87	0.300700805
88	0.3006544341
89	0.3005839834
90	0.3005338912
91	0.3004731508
92	0.300396452
93	0.3003385946
94	0.3002998223
95	0.3002525419
96	0.3001987498
97	0.3001495339
98	0.3000822733
99	0.3000508108
100	0.2999851286
101	0.2999411461
102	0.2998922214
103	0.2998339377
104	0.299782065
105	0.299722912
106	0.2996435736
107	0.2996059955
108	0.2995764073
109	0.2995388815
110	0.2995017264
111	0.2994488553
112	0.299413269
113	0.2993784894
114	0.2993297625
115	0.2992837414
116	0.2992468684
117	0.2992281742
118	0.2991775085
119	0.2991355227
120	0.2991023185
121	0.2990626797
122	0.299030025
123	0.2989875943
124	0.2989464368
125	0.2989153307
126	0.2988708734
127	0.2988295913
128	0.2987862331
129	0.2987575072
130	0.2987131207
131	0.2986836365
132	0.2986325948
133	0.2985930819
134	0.298536605
135	0.2984938539
136	0.2984647137	137	0.2984372138	138	0.2984032139	139	0.2983814093
140	0.2983522141	141	0.298290142	0142	0.298253143	0143	0.298236144	0144	0.298197145	0145	0.298166146	0146	0.298146147	147	0.2981066148	148	0.2980564149	149	0.2980053150	0.2998576051
151	151	0.2979476152	0.2997909151
153	0.2997481569
154	0.2997250561
155	0.2996987586
156	0.2996649795
157	0.299629016
158	0.2995886291
159	0.2995432677
160	0.2995050006
161	0.2994826705
162	0.2994649394
163	0.2994402885
164	0.2994091018
165	0.2993838344
166	0.2993624893
167	0.2993360762
168	0.2993004414
169	0.2992651442
170	0.2992475075
171	0.2992216856
172	0.2991850617
173	0.2991487366
174	0.2991267354
175	0.2991008635
176	0.2990498775
177	0.2990055805
178	0.2989684652
179	0.2989371412
180	0.2989069969
18181	0.29704381918182	0.2970206371183	0.29700522161184	0.296982566
185	0.2969577383
186	0.2969276287
187	0.2968979006
188	0.29687039
189	0.2968495295
190	0.2968144859
191	0.2967787688
192	0.2967472078
193	0.2967160928
194	0.2966717554
195	0.2966344424
196	0.2966039121
197	0.2965657883
198	0.2965327104
199	0.296495124
96
6
