iter	Passed	Remaining
0	26	5362
1	51	5132
2	97	6421
3	127	6234
4	158	6199
5	193	6259
6	225	6212
7	262	6288
8	296	6301
9	332	6322
10	364	6259
11	397	6229
12	427	6150
13	459	6107
14	489	6042
15	522	6008
16	556	5989
17	587	5941
18	627	5979
19	662	5961
20	698	5956
21	732	5930
22	762	5866
23	800	5869
24	832	5824
25	865	5792
26	899	5763
27	935	5748
28	966	5701
29	1002	5679
30	1039	5664
31	1073	5636
32	1110	5618
33	1141	5575
34	1173	5531
35	1201	5474
36	1235	5444
37	1268	5408
38	1302	5375
39	1334	5339
40	1364	5292
41	1406	5289
42	1436	5243
43	1477	5237
44	1503	5179
45	1530	5124
46	1563	5089
47	1596	5056
48	1626	5013
49	1662	4988
50	1695	4954
51	1725	4911
52	1779	4934
53	1828	4943
54	1856	4893
55	1883	4843
56	1909	4791
57	1935	4738
58	1966	4698
59	2010	4692
60	2043	4656
61	2073	4615
62	2101	4570
63	2125	4517
64	2152	4470
65	2177	4421
66	2205	4377
67	2231	4330
68	2257	4286
69	2285	4243
70	2310	4198
71	2335	4152
72	2364	4113
73	2388	4067
74	2415	4025
75	2439	3979
76	2465	3937
77	2492	3897
78	2521	3861
79	2548	3822
80	2571	3778
81	2601	3742
82	2626	3703
83	2652	3663
84	2683	3630
85	2714	3598
86	2740	3559
87	2765	3520
88	2791	3481
89	2819	3445
90	2848	3411
91	2875	3376
92	2903	3341
93	2929	3303
94	2956	3267
95	2981	3229
96	3009	3195
97	3039	3163
98	3065	3127
99	3089	3089
100	3122	3060
101	3147	3023
102	3171	2986
103	3194	2948
104	3219	2912
105	3247	2879
106	3274	2846
107	3305	2815
108	3333	2782
109	3361	2749
110	3386	2715
111	3415	2683
112	3440	2648
113	3466	2614
114	3490	2579
115	3515	2546
116	3543	2513
117	3569	2480
118	3595	2447
119	3622	2415
120	3651	2384
121	3684	2355
122	3713	2324
123	3737	2290
124	3763	2258
125	3790	2226
126	3817	2194
127	3845	2163
128	3873	2132
129	3897	2098
130	3924	2067
131	3952	2035
132	3978	2003
133	4002	1971
134	4026	1938
135	4053	1907
136	4078	1875
137	4104	1844
138	4130	1812
139	4159	1782
140	4182	1750
141	4208	1718
142	4234	1687
143	4261	1657
144	4288	1626
145	4315	1596
146	4343	1565
147	4368	1534
148	4394	1504
149	4418	1472
150	4444	1442
151	4472	1412
152	4499	1382
153	4523	1351
154	4549	1320
155	4575	1290
156	4602	1260
157	4630	1230
158	4658	1201
159	4694	1173
160	4724	1144
161	4750	1114
162	4779	1084
163	4807	1055
164	4834	1025
165	4864	996
166	4889	966
167	4918	936
168	4946	907
169	4974	877
170	5002	848
171	5032	819
172	5062	790
173	5089	760
174	5116	730
175	5141	701
176	5182	673
177	5208	643
178	5238	614
179	5265	585
180	5293	555
181	5327	526
182	5354	497
183	5383	468
184	5409	438
185	5439	409
186	5465	379
187	5493	350
188	5520	321
189	5545	291
190	5563	262
191	5583	232
192	5603	203
193	5626	174
194	5646	144
195	5663	115
196	5683	86
197	5699	57
198	5713	28
199	5722	0

193	7152	221
194	7170	183
195	7188	146
196	7206	109
197	7224	72
198	7245	36
199	7259	0
